code,code_variant,rarity,type,life,name,color,cost,power,counter,feature,character_type,description,trigger,image
EB01-007,EB01-007,C,CHARACTER,,Yamato,Red,5,5000,2000,Land of Wano,Strike,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-007.png?240524
EB01-008,EB01-008,R,CHARACTER,,LittleOars Jr.,Red,6,7000,1000,Giant/Whitebeard Pirates Allies,Strike,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 Event or Stage card from your hand instead.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-008.png?240524
EB01-009,EB01-009,C,EVENT,,Just Shut Up and Come with Us!!!!,Red,1,-,-,Drum Kingdom/Straw Hat Crew,-,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-009.png?240524
EB01-010,EB01-010,R,EVENT,,There's No Way You Could Defeat Me!!,Red,3,-,-,Water Seven/Straw Hat Crew,-,[Counter] K.O. up to 1 of your opponent's Characters with 6000 base power or less., K.O. up to 1 of your opponent's Characters with 5000 base power or less.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-010.png?240524
EB01-011,EB01-011,C,STAGE,,Mini-Merry,Red,1,-,-,Straw Hat Crew,-,[Activate: Main] You may rest this card and place 1 of your Characters with 1000 base power at the bottom of your deck: Draw 1 card.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-011.png?240524
EB01-012,EB01-012,SR,CHARACTER,,Cavendish,Green,5,6000,1000,Supernovas/Beautiful Pirates,Slash,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-012.png?240524
EB01-012,EB01-012_p1,SR,CHARACTER,,Cavendish,Green,5,6000,1000,Supernovas/Beautiful Pirates,Slash,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-012_p1.png?240524
EB01-013,EB01-013,R,CHARACTER,,Kouzuki Hiyori,Green,4,-,1000,Land of Wano/Kouzuki Clan,Wisdom,"[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-013.png?240524
EB01-013,EB01-013_p1,R,CHARACTER,,Kouzuki Hiyori,Green,4,-,1000,Land of Wano/Kouzuki Clan,Wisdom,"[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-013_p1.png?240524
EB01-014,EB01-014,R,CHARACTER,,Sanji,Green,4,5000,2000,FILM/Straw Hat Crew,Strike,[DON!! x1] [Your Turn] This Character gains +1000 power for every 3 of your rested DON!! cards.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-014.png?240524
EB01-015,EB01-015,R,CHARACTER,,Scratchmen Apoo,Green,1,1000,2000,Supernovas/On-Air Pirates,Special,[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-015.png?240524
EB01-016,EB01-016,C,CHARACTER,,Bingoh,Green,1,-,1000,Land of Wano,Wisdom,[Activate: Main] You may rest this Character: K.O. up to 1 of your opponent's rested Characters with a cost of 1 or less.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-016.png?240524
EB01-017,EB01-017,C,CHARACTER,,Blueno,Green,2,2000,1000,FILM/CP0,Strike,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-017.png?240524
EB01-018,EB01-018,C,CHARACTER,,Mountain God,Green,5,7000,1000,Animal/Land of Wano,Strike,-,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-018.png?240524
EB01-019,EB01-019,R,EVENT,,Off-White,Green,2,-,-,The Seven Warlords of the Sea/Donquixote Pirates,-,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, look at 3 cards from the top of your deck; reveal up to 1 {Donquixote Pirates} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-019.png?240524
EB01-020,EB01-020,C,EVENT,,Chambres,Green,1,-,-,Supernovas/Heart Pirates,-,"[Main] If your Leader has the {Supernovas} type, return 1 of your Characters to the owner's hand, and play up to 1 Character card with a cost of 2 or less from your hand that is a different color than the returned Character.", Activate this card's [Main] effect.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-020.png?240524
EB01-021,EB01-021,L,LEADER,4,Hannyabal,Blue/Purple,,5000,-,Impel Down,Slash,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-021.png?240524
EB01-021,EB01-021_p1,L,LEADER,4,Hannyabal,Blue/Purple,,5000,-,Impel Down,Slash,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-021_p1.png?240524
EB01-022,EB01-022,SR,CHARACTER,,Inazuma,Blue,6,7000,1000,Impel Down/Revolutionary Army,Slash,"[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-022.png?240524
EB01-022,EB01-022_p1,SR,CHARACTER,,Inazuma,Blue,6,7000,1000,Impel Down/Revolutionary Army,Slash,"[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-022_p1.png?240524
EB01-023,EB01-023,R,CHARACTER,,Edward Weevil,Blue,4,6000,-,The Seven Warlords of the Sea,Slash,[On Play] Draw 1 card.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-023.png?240524
EB01-024,EB01-024,C,CHARACTER,,Hamlet,Blue,3,4000,1000,Animal Kingdom Pirates/SMILE,Slash,"If you have 4 or less cards in your hand, all of your {SMILE} type Characters gain +1000 power.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-024.png?240524
EB01-025,EB01-025,C,CHARACTER,,Fourtricks,Blue,3,5000,1000,Animal Kingdom Pirates/SMILE,Slash,-,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-025.png?240524
EB01-026,EB01-026,C,CHARACTER,,Prince Bellett,Blue,2,2000,2000,Impel Down,Ranged,"[DON!! x1] [When Attacking] If you have 1 or less cards in your hand, return up to 1 Character with a cost of 3 or less to the owner's hand.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-026.png?240524
EB01-027,EB01-027,R,CHARACTER,,Mr.1(Daz.Bonez),Blue,5,6000,1000,Baroque Works,Slash,"If your Leader's type includes ""Baroque Works"", this Character gains +1000 power for every 2 Events in your trash.[On Play] Draw 2 cards and trash 1 card from your hand.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-027.png?240524
EB01-027,EB01-027_p1,R,CHARACTER,,Mr.1(Daz.Bonez),Blue,5,6000,1000,Baroque Works,Slash,"If your Leader's type includes ""Baroque Works"", this Character gains +1000 power for every 2 Events in your trash.[On Play] Draw 2 cards and trash 1 card from your hand.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-027_p1.png?240524
EB01-028,EB01-028,R,EVENT,,Gum-Gum Champion Rifle,Blue,1,-,-,Impel Down/Straw Hat Crew,-,"[Counter] If your Leader has the {Impel Down} type, up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, your opponent returns 1 of their active Characters to the owner's hand.", Return up to 1 Character with a cost of 3 or less to the bottom of the owner's deck.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-028.png?240524
EB01-029,EB01-029,C,EVENT,,Sorry. I'm a Goner.,Blue,1,-,-,East Blue/Straw Hat Crew,-,"[Counter] Reveal 1 card from the top of your deck. If the revealed card has a cost of 4 or more, return up to 1 of your Characters to the owner's hand. Then, place the revealed card at the bottom of your deck.", Return up to 1 Character with a cost of 8 or less to the owner's hand.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-029.png?240524
EB01-030,EB01-030,C,STAGE,,Loguetown,Blue,2,-,-,East Blue,-,[Activate: Main] You may place this card and 1 card from your hand at the bottom of your deck in any order: Draw 2 cards., Play this card.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-030.png?240524
EB01-031,EB01-031,R,CHARACTER,,Kalifa,Purple,5,5000,1000,Water Seven/Galley-La Company,Wisdom,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, add up to 2 Character cards with a cost of 4 or less from your trash to your hand.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-031.png?240524
EB01-031,EB01-031_p1,R,CHARACTER,,Kalifa,Purple,5,5000,1000,Water Seven/Galley-La Company,Wisdom,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, add up to 2 Character cards with a cost of 4 or less from your trash to your hand.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-031_p1.png?240524
EB01-032,EB01-032,C,CHARACTER,,Army Wolves,Purple,5,7000,1000,Animal/Impel Down,Strike,-,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-032.png?240524
EB01-033,EB01-033,R,CHARACTER,,Blueno,Purple,4,5000,1000,Water Seven,Strike,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, play up to 1 {Water Seven} type Character card with a cost of 5 other than [Blueno] from your hand or trash.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-033.png?240524
EB01-034,EB01-034,SR,CHARACTER,,Ms. Wednesday,Purple,3,4000,1000,Baroque Works,Slash,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", add up to 1 DON!! card from your DON!! deck and set it as active.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-034.png?240524
EB01-034,EB01-034_p1,SR,CHARACTER,,Ms. Wednesday,Purple,3,4000,1000,Baroque Works,Slash,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", add up to 1 DON!! card from your DON!! deck and set it as active.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-034_p1.png?240524
EB01-035,EB01-035,C,CHARACTER,,Ms. Monday,Purple,3,5000,-,Baroque Works,Strike,"[On Play] If your Leader's type includes ""Baroque Works"", up to 1 of your Leader or Character cards gains +1000 power during this turn.", DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-035.png?240524
EB01-036,EB01-036,C,CHARACTER,,Minochihuahua,Purple,4,5000,-,Impel Down/Jailer Beast,Strike,"[Rush] (This card can attack on the turn in which it is played.)[On K.O.] If your Leader has the {Impel Down} type, add up to 1 DON!! card from your DON!! deck and rest it.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-036.png?240524
EB01-037,EB01-037,C,CHARACTER,,Mr. 9,Purple,3,4000,1000,Baroque Works,Strike,[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 2 or less.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-037.png?240524
EB01-038,EB01-038,C,EVENT,,Oh Come My Way,Purple,1,-,-,Baroque Works,-,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", select 1 of your Characters. Change the attack target to the selected Character.", DON!! −1: Draw 2 cards.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-038.png?240524
EB01-039,EB01-039,R,EVENT,,Conquerer of Three Worlds Ragnaraku,Purple,5,-,-,The Four Emperors/Animal Kingdom Pirates,-,[Main] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 8 or less., Add up to 1 DON!! card from your DON!! deck and set it as active.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-039.png?240524
EB01-040,EB01-040,L,LEADER,4,Kyros,Black/Yellow,,5000,-,Dressrosa,Slash,[Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: K.O. up to 1 of your opponent's Characters with a cost of 0.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-040.png?240524
EB01-040,EB01-040_p1,L,LEADER,4,Kyros,Black/Yellow,,5000,-,Dressrosa,Slash,[Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: K.O. up to 1 of your opponent's Characters with a cost of 0.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-040_p1.png?240524
EB01-041,EB01-041,C,CHARACTER,,Crocus,Black,6,8000,1000,Former Roger Pirates,Wisdom,-,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-041.png?240524
EB01-042,EB01-042,R,CHARACTER,,Scarlet,Black,2,-,1000,Dressrosa,Wisdom,"[Activate: Main] You may trash this Character: Play up to 1 {Dressrosa} type Character card with a cost of 3 or less other than [Scarlet] from your hand rested. Then, give up to 1 of your opponent's Characters −2 cost during this turn.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-042.png?240524
EB01-043,EB01-043,R,CHARACTER,,Spandine,Black,3,2000,1000,CP9,Wisdom,"[On Play] You may place 3 cards with a type including ""CP"" from your trash at the bottom of your deck in any order: Play up to 1 Character card with a type including ""CP"" and a cost of 4 or less other than [Spandine] from your trash rested.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-043.png?240524
EB01-044,EB01-044,C,CHARACTER,,Funkfreed,Black,1,1000,1000,CP9,Slash,[Activate: Main] You may rest this Character: Up to 1 of your [Spandam] Characters gains +3000 power during this turn.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-044.png?240524
EB01-045,EB01-045,C,CHARACTER,,Brook,Black,3,4000,1000,Rumbar Pirates,Slash,"[On Play] If your opponent has a Character with a cost of 0, this Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.)",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-045.png?240524
EB01-046,EB01-046,SR,CHARACTER,,Brook,Black,3,4000,1000,Straw Hat Crew,Slash,"[On Play]/[When Attacking] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, K.O. up to 1 of your opponent's Characters with a cost of 0.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-046.png?240524
EB01-046,EB01-046_p1,SR,CHARACTER,,Brook,Black,3,4000,1000,Straw Hat Crew,Slash,"[On Play]/[When Attacking] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, K.O. up to 1 of your opponent's Characters with a cost of 0.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-046_p1.png?240524
EB01-047,EB01-047,C,CHARACTER,,Laboon,Black,2,4000,-,Animal,Strike,"[Once Per Turn] When a Character is K.O.'d, draw 1 card and trash 1 card from your hand.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-047.png?240524
EB01-048,EB01-048,SR,CHARACTER,,Laboon,Black,4,5000,1000,Animal,Strike,[Activate: Main] You may rest this Character: Give up to 1 of your opponent's Characters −4 cost during this turn.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-048.png?240524
EB01-048,EB01-048_p1,SR,CHARACTER,,Laboon,Black,4,5000,1000,Animal,Strike,[Activate: Main] You may rest this Character: Give up to 1 of your opponent's Characters −4 cost during this turn.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-048_p1.png?240524
EB01-049,EB01-049,R,CHARACTER,,T-Bone,Black,5,5000,2000,Water Seven/Navy,Slash,[On Play] K.O. up to 1 of your opponent's Characters with a cost of 2 or less.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-049.png?240524
EB01-049,EB01-049_p1,R,CHARACTER,,T-Bone,Black,5,5000,2000,Water Seven/Navy,Slash,[On Play] K.O. up to 1 of your opponent's Characters with a cost of 2 or less.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-049_p1.png?240524
EB01-050,EB01-050,C,EVENT,,...I Want to Live!!,Black,3,-,-,Straw Hat Crew,-,"[Counter] If you have 30 or more cards in your trash, add up to 1 card from the top of your deck to the top of your Life cards.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-050.png?240524
EB01-051,EB01-051,R,EVENT,,Finger Pistol,Black,4,-,-,CP9,-,[Main] You may trash 2 cards from the top of your deck: K.O. up to 1 of your opponent's Characters with a cost of 5 or less., Activate this card's [Main] effect.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-051.png?240524
EB01-052,EB01-052,SR,CHARACTER,,Viola,Yellow,2,-,1000,Dressrosa,Special,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Choose one:• Look at all of your opponent's Life cards and place them back in their Life area in any order.• Turn all of your Life cards face-down.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-052.png?240524
EB01-052,EB01-052_p1,SR,CHARACTER,,Viola,Yellow,2,-,1000,Dressrosa,Special,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Choose one:• Look at all of your opponent's Life cards and place them back in their Life area in any order.• Turn all of your Life cards face-down.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-052_p1.png?240524
EB01-053,EB01-053,C,CHARACTER,,Gastino,Yellow,3,5000,-,Scientist,Special,[On Play] Place up to 1 of your opponent's Characters with a cost of 3 or less at the top or bottom of your opponent's Life cards face-up., Give up to a total of 2 of your opponent's Leader or Character cards −3000 power during this turn.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-053.png?240524
EB01-054,EB01-054,R,CHARACTER,,Gan.Fall,Yellow,3,4000,1000,Sky Island,Slash,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If your opponent has 1 or less Life cards, K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-054.png?240524
EB01-055,EB01-055,C,CHARACTER,,Charlotte Compote,Yellow,7,9000,1000,Big Mom Pirates,Wisdom,-,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-055.png?240524
EB01-056,EB01-056,R,CHARACTER,,Charlotte Flampe,Yellow,1,1000,2000,Big Mom Pirates,Special,[On Play] You may add 1 card from the top or bottom of your Life cards to your hand: Draw 1 card.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-056.png?240524
EB01-056,EB01-056_p1,R,CHARACTER,,Charlotte Flampe,Yellow,1,1000,2000,Big Mom Pirates,Special,[On Play] You may add 1 card from the top or bottom of your Life cards to your hand: Draw 1 card.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-056_p1.png?240524
EB01-057,EB01-057,SR,CHARACTER,,Shirahoshi,Yellow,2,-,1000,Merfolk,Wisdom,"When this Character is K.O.'d by your opponent's effect, add up to 1 card from the top of your deck to the top of your Life cards.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-057.png?240524
EB01-057,EB01-057_p1,SR,CHARACTER,,Shirahoshi,Yellow,2,-,1000,Merfolk,Wisdom,"When this Character is K.O.'d by your opponent's effect, add up to 1 card from the top of your deck to the top of your Life cards.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-057_p1.png?240524
EB01-058,EB01-058,C,CHARACTER,,Mont Blanc Cricket,Yellow,2,3000,1000,Monkey Mountain Alliance,Strike,"[DON!! x1] [Your Turn] If you have 2 or less Life cards, this Character gains +2000 power.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-058.png?240524
EB01-059,EB01-059,R,EVENT,,Kingdom Come,Yellow,6,-,-,Sky Island,-,"[Main] K.O. up to 1 of your opponent's Characters. Then, trash cards from the top of your Life cards until you have 1 Life card.", K.O. up to 1 of your opponent's Characters with a cost equal to or less than the total of your and your opponent's Life cards.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-059.png?240524
EB01-060,EB01-060,C,EVENT,,Did Someone Say...Kami?,Yellow,4,-,-,Sky Island,-,"[Main] Play up to 1 [Enel] with a cost of 7 or less from your hand or trash. Then, trash cards from the top of your Life cards until you have 1 Life card.", Draw 2 cards and trash 1 card from your hand.,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-060.png?240524
EB01-061,EB01-061,SEC,CHARACTER,,Mr.2.Bon.Kurei(Bentham),Purple,4,1000,1000,Former Baroque Works,Special,[On Play] Add up to 1 DON!! card from your DON!! deck and set it as active.[When Attacking] Select up to 1 of your opponent's Characters. This Character's base power becomes the same as the selected Character's power during this turn.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-061.png?240524
EB01-061,EB01-061_p1,SEC,CHARACTER,,Mr.2.Bon.Kurei(Bentham),Purple,4,1000,1000,Former Baroque Works,Special,[On Play] Add up to 1 DON!! card from your DON!! deck and set it as active.[When Attacking] Select up to 1 of your opponent's Characters. This Character's base power becomes the same as the selected Character's power during this turn.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-061_p1.png?240524
OP03-008,OP03-008_p1,SP CARD,CHARACTER,,Buggy,Red,1,3000,-,Buggy Pirates,Slash,"This Character cannot be K.O.'d in battle by <Slash> attribute cards.[On Play] Look at 5 cards from the top of your deck; reveal up to 1 red Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,https://en.onepiece-cardgame.com../images/cardlist/card/OP03-008_p1.png?240524
OP03-114,OP03-114_p2,SP CARD,CHARACTER,,Charlotte Linlin,Yellow,10,12000,-,The Four Emperors/Big Mom Pirates,Special,"[On Play] If your Leader has the {Big Mom Pirates} type, add up to 1 card from the top of your deck to the top of your Life cards. Then, trash up to 1 card from the top of your opponent's Life cards.",,https://en.onepiece-cardgame.com../images/cardlist/card/OP03-114_p2.png?240524
OP04-024,OP04-024_p2,SP CARD,CHARACTER,,Sugar,Green,2,-,1000,Donquixote Pirates,Special,"[Opponent's Turn] [Once Per Turn] When your opponent plays a Character, if your Leader has the {Donquixote Pirates} type, rest up to 1 of your opponent's Characters. Then, rest this Character.[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",,https://en.onepiece-cardgame.com../images/cardlist/card/OP04-024_p2.png?240524
OP04-064,OP04-064_p2,SP CARD,CHARACTER,,Ms. All Sunday,Purple,5,5000,-,Baroque Works,Wisdom,"[On Play] Add up to 1 DON!! card from your DON!! deck and rest it. Then, if you have 6 or more DON!! cards on your field, draw 1 card.", DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card.,https://en.onepiece-cardgame.com../images/cardlist/card/OP04-064_p2.png?240524
OP05-051,OP05-051_p2,SP CARD,CHARACTER,,Borsalino,Blue,7,8000,-,Navy,Special,[On Play] Place up to 1 Character with a cost of 4 or less at the bottom of the owner's deck.,,https://en.onepiece-cardgame.com../images/cardlist/card/OP05-051_p2.png?240524
OP05-091,OP05-091_p2,SP CARD,CHARACTER,,Rebecca,Black,4,-,1000,Dressrosa,Wisdom,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Add up to 1 black Character card with a cost of 3 to 7 other than [Rebecca] from your trash to your hand. Then, play up to 1 black Character card with a cost of 3 or less from your hand rested.",,https://en.onepiece-cardgame.com../images/cardlist/card/OP05-091_p2.png?240524
